objeto,denominacao_objeto,classificacao
20425478,,MATERIAIS
20741049,Projeto CASTILHO Junho 23,SERVIÇOS
20838679,R720 Projeto Santos 16.08,SERVIÇOS
20961486,Projeto Baixada - DEmanda iluminação,MATERIAIS
20979927,Baixa materiais Remod. Baixada,MATERIAIS
21128577,BAIXA DE MATERIAL KM 6+700 A 11+700,MATERIAIS
21161813,BAIXA DE MATERIAL INTERDIÇÃO IQAICB L1,MATERIAIS
21182174,BAIXA DE MATERIAL - INTERDIÇÃO IQAICB L2,MATERIAIS
21209766,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21270259,R724 Aplic Anti Furto 13.01.24,SERVIÇOS
21270386,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21283853,R724 APlic. AntiFurto 20.01.24,SERVIÇOS
21288001,R724 Aplic. Antifurto 26.01.24,SERVIÇOS
21289652,R725 Aplic. Ant iFurto 20.01.24,SERVIÇOS
21300020,BAIXA DE DISPOSITIVO ANTIFURTO,MATERIAIS
21300038,BAIXA DE DISPOSITIVO ANTIFURTO,MATERIAIS
21312711,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L2,MATERIAIS
21313416,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L2,MATERIAIS
21313566,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L2,MATERIAIS
21322314,BAIXA DE MATERIAL INTERDIÇÃO ZPG L2,MATERIAIS
21322395,BAIXA DE MATERIAL INTERDIÇÃO ZPG L2,MATERIAIS
21322719,BAIXA DE MATERIAL INTERDIÇÃO ZPG L2,MATERIAIS
21322748,BAIXA DE MATERIAL INTERDIÇÃO ZPG L2,MATERIAIS
21322790,BAIXA DE MATERIAL INTERDIÇÃO ZPG L2,MATERIAIS
21322878,BAIXA DE MATERIAL INTERDIÇÃO ZPG L2,MATERIAIS
21387421,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21390823,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21390837,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21391020,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21391196,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21397983,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21397996,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21398042,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21398210,BAIXA DE DISPOSITIVO ANTIFURTO,MATERIAIS
21400528,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21463049,BAIXA DE MATERIAL INTERDIÇÃO IAA L3,MATERIAIS
21463237,BAIXA DE MATERIAL INTERDIÇÃO IAA L3,MATERIAIS
21466531,BAIXA DE MATERIAL INTERDIÇÃO IAA L3,MATERIAIS
21466581,BAIXA DE MATERIAL INTERDIÇÃO IAA L3,MATERIAIS
21466642,BAIXA DE MATERIAL INTERDIÇÃO IAA L3,MATERIAIS
21466874,BAIXA DE MATERIAL INTERDIÇÃO IAA L3,MATERIAIS
21470330,BAIXA DE MATERIAL INTERDIÇÃO IAA L3,MATERIAIS
21470597,BAIXA DE DISPOSITIVO ANTIFURTO,MATERIAIS
21470601,BAIXA DE MATERIAL INTERDIÇÃO ZPGICB L1,MATERIAIS
21559328,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21559524,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21559752,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21559808,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21560136,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21560243,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21569114,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21642714,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21642737,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21642744,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21650454,BAIXA DE MATERIAL INTERDIÇÃO IPG,MATERIAIS
21713491,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21713493,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21717786,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21717858,"BAIXA DE MATERIAL INTERDIÇÃO, continua..",MATERIAIS
21725716,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21725812,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21725870,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21802073,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21802076,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21802121,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21802213,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21811425,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21811442,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21817336,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21817351,BAIXA DE SOLDAS,MATERIAIS
21899869,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21903728,BAIXA DE MATERIAL - AMVs 204 e 306 (xxx),MATERIAIS
21903784,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21904141,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21904158,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21904206,BAIXA DE MATERIAL - AMVs,MATERIAIS
21912968,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21912969,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21931409,BAIXA DE MATERIAL,MATERIAIS
21969151,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21969174,BAIXA DE MATERIAL INTERDIÇÃO,MATERIAIS
21981087,BAIXA DE MATERIAL,MATERIAIS
21981467,BAIXA DE MATERIAL,MATERIAIS
21981485,BAIXA DE MATERIAL,MATERIAIS
21981542,BAIXA DE MATERIAL - AMV 138,MATERIAIS
21981626,BAIXA DE MATERIAL - AMV 92,MATERIAIS
21984696,BAIXA DE MATERIAL - AMV 138,MATERIAIS
21984746,BAIXA DE MATERIAL - AMV- 94,MATERIAIS
21984923,BAIXA DE MATERIAL,MATERIAIS
21984942,BAIXA DE MATERIAL,MATERIAIS
21997354,BAIXA DE MATERIAL - AMVs,MATERIAIS
21997461,BAIXA DE MATERIAL - AMVs,MATERIAIS
21997465,BAIXA DE MATERIAL,MATERIAIS
22074632,Baixa de Material,MATERIAIS
22074937,Baixa de Material,MATERIAIS
22075282,Baixa de Material,MATERIAIS
22075294,Baixa de Material,MATERIAIS
22075304,Baixa de Material - AMV,MATERIAIS
22077309,Baixa de Material - AMV,MATERIAIS
22077366,Baixa de Material - AMV,MATERIAIS
22077396,Baixa de Material - AMV,MATERIAIS
22077482,Baixa de Material - AMV,MATERIAIS
22077641,Baixa de Material - AMV,MATERIAIS
22085673,Baixa de Material - AMV,MATERIAIS
22085688,Baixa de Material - AMV,MATERIAIS
22116935,Baixa de Material - Areais,MATERIAIS
22117005,Baixa de Material - Areais,MATERIAIS
22117021,Baixa de Material - Areais,MATERIAIS
22117027,Baixa de Material - Areais,MATERIAIS
22119883,Baixa de Material - Areais,MATERIAIS
22136649,Baixa de Material - Trilho - Areais,MATERIAIS
22160464,Baixa de Material - Areais,MATERIAIS
22163478,Baixa de Material - AMV,MATERIAIS
22163514,Baixa de Material - AMV,MATERIAIS
22163861,Baixa de Material - Interdição -Brita,MATERIAIS
22204234,Baixa de Material - Interdição,MATERIAIS
22204255,Baixa de Material - Interdição,MATERIAIS
22204276,Baixa de Material - Interdição,MATERIAIS
22212862,Baixa de Material - AMV,MATERIAIS
22212896,Baixa de Material - AMV,MATERIAIS
22212978,Baixa de Material - Solda,MATERIAIS
22213626,Baixa de Material - Interdição,MATERIAIS
22213659,Baixa de Material - AMV,MATERIAIS
22213672,Baixa de Material - Interdição,MATERIAIS
22213690,Baixa de Material - Interdição - Brita,MATERIAIS
22216695,Baixa de Material - Dormente Pombinho,MATERIAIS
22221762,OS para Baixa de Materiais,MATERIAIS
22222412,OS para Baixa de Materiais,MATERIAIS
22222544,OS para Baixa de Materiais,MATERIAIS
22222816,OS para Baixa de Materiais,MATERIAIS
22227599,Baixa de Material - Trilho,MATERIAIS
22227611,Baixa Materiais - Pombinho,MATERIAIS
22227617,Baixa Material - Pombinho,MATERIAIS
22232760,Baixa de AMV - 30AN,MATERIAIS
22232887,Baixa materiais do AMV 30AN,MATERIAIS
22238566,OS para Baixa de Materiais,MATERIAIS
22239410,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239439,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239442,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239446,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239512,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239553,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239563,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22267046,Baixa de Material - Dormente polímero,MATERIAIS
22304493,Baixa de Materiais - Solda - ZPG,MATERIAIS
22309242,Baixa de Materiais - Dormentes,MATERIAIS
22311711,Baixa de Material - Britas,MATERIAIS
22311719,Baixa de Material - Trilho,MATERIAIS
22311762,Baixa de Material - AMV 48S,MATERIAIS
22311936,Baixa de Material - AMV 48S (2),MATERIAIS
22312110,Baixa de Material - AMV CM10,MATERIAIS
22312559,Baixa de Material - Dormente Polímero,MATERIAIS
22315426,Baixa de Material - Ilha Barnabé,MATERIAIS
22319299,Baixa de Material - IBA,MATERIAIS
22319528,Baixa de Material - AMV 34N,MATERIAIS
22319829,Baixa de Material - ZPG,MATERIAIS
22319840,Baixa de Material - ZPG - Britas,MATERIAIS
